hour,Rhr,Ihrsoil,ET0,ET,WB,SWC,DELTA,F,f,Q,InF,PERC,Loss,PerLoss,wLostHr,wLostDay,iLostHr,iLostDay,Ihr
11,0.0,0.0,0.055,0.0473,0.0,0.4520800000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.055,0.0473,0.0,0.4047800000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.044,0.03784,0.0,0.3669400000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.045,0.0387,0.0,0.3282400000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.037,0.03182,0.0,0.2964200000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.021,0.01806,0.0,0.27836000000000005,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.011,0.00946,0.0,0.26890000000000003,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.006,0.00516,0.0,0.26374000000000003,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.003,0.00258,0.0,0.26116,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.001,8.6E-4,0.0,0.2603,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.001,8.6E-4,0.0,0.25943999999999995,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.001,8.6E-4,0.0,0.2585799999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.001,8.6E-4,0.0,0.2577199999999999,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.001,8.6E-4,0.0,0.25685999999999987,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.25685999999999987,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.25685999999999987,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.25685999999999987,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.25685999999999987,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.25685999999999987,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.001,8.6E-4,0.0,0.25599999999999984,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.009,0.0077399999999999995,0.0,0.24825999999999984,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.024,0.02064,0.0,0.22761999999999985,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
