WB,ET0,SWC,ET,DELTA,F,f,PERC,Q,InF,Loss,PerLoss
4.3688,0.002,1.28,0.00172,0.24999999999999997,3.224154789064222,2.0205462039776276,2.020546203977627,2.3482537960223726,2.0205462039776276,0.0,NaN
2.0828,0.001,1.28,8.6E-4,0.24999999999999997,3.224154789064222,2.0205462039776276,2.020546203977627,0.062253796022372576,2.0205462039776276,4.440892098500626E-16,Infinity
2.413,0.0,1.28,0.0,0.24999999999999997,3.224154789064222,2.0205462039776276,2.020546203977627,0.3924537960223722,2.0205462039776276,4.440892098500626E-16,Infinity
1.2446,0.0,1.28,0.0,0.24999999999999997,3.224154789064222,2.0205462039776276,1.2446,0.0,1.2446,0.0,NaN
0.5842,0.0,1.28,0.0,0.24999999999999997,3.224154789064222,2.0205462039776276,0.5842,0.0,0.5842,0.0,NaN
0.4572,0.0,1.28,0.0,0.24999999999999997,3.224154789064222,2.0205462039776276,0.45720000000000005,0.0,0.4572,5.551115123125783E-17,Infinity
0.3048,0.0,1.28,0.0,0.24999999999999997,3.224154789064222,2.0205462039776276,0.30479999999999996,0.0,0.3048,5.551115123125783E-17,Infinity
0.2032,0.0,1.28,0.0,0.24999999999999997,3.224154789064222,2.0205462039776276,0.20320000000000005,0.0,0.2032,5.551115123125783E-17,Infinity
0.3556,0.001,1.28,8.6E-4,0.24999999999999997,3.224154789064222,2.0205462039776276,0.35560000000000014,0.0,0.3556,1.1102230246251565E-16,Infinity
0.381,0.001,1.28,8.6E-4,0.24999999999999997,3.224154789064222,2.0205462039776276,0.381,0.0,0.381,0.0,NaN
0.3556,0.002,1.28,0.00172,0.24999999999999997,3.224154789064222,2.0205462039776276,0.35560000000000014,0.0,0.3556,1.1102230246251565E-16,Infinity
0.4572,0.002,1.28,0.00172,0.24999999999999997,3.224154789064222,2.0205462039776276,0.45720000000000005,0.0,0.4572,5.551115123125783E-17,Infinity
1.07,0.002,1.28,0.00172,0.24999999999999997,3.224154789064222,2.0205462039776276,1.07,0.0,1.07,1.07,1.0
0.0254,0.002,1.28,0.00172,0.24999999999999997,3.224154789064222,2.0205462039776276,0.02540000000000009,0.0,0.0254,9.020562075079397E-17,Infinity
0.0254,0.002,1.28,0.00172,0.24999999999999997,3.224154789064222,2.0205462039776276,0.02540000000000009,0.0,0.0254,9.020562075079397E-17,Infinity
0.0254,0.001,1.28,8.6E-4,0.24999999999999997,3.224154789064222,2.0205462039776276,0.02540000000000009,0.0,0.0254,9.020562075079397E-17,Infinity
0.0,0.002,1.28,0.00172,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0254,0.001,1.27828,8.6E-4,0.25021499999999997,3.225189676883368,2.0210476264458754,0.023680000000000145,0.0,0.0254,0.0017199999999998536,Infinity
0.0254,0.001,1.28,8.6E-4,0.24999999999999997,3.224154789064222,2.0205462039776276,0.02540000000000009,0.0,0.0254,9.020562075079397E-17,Infinity
0.0,0.006,1.28,0.00516,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.017,1.27484,0.014620000000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.033,1.26022,0.028380000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.043,1.2318399999999998,0.03698,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.027,1.1948599999999998,0.02322,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.035,1.1716399999999998,0.030100000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.028,1.1415399999999998,0.02408,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.1016,0.013,1.1174599999999997,0.011179999999999999,0.2703175,3.3201187127422105,2.0670895460152434,0.0,0.0,0.1016,0.1016,Infinity
0.0,0.017,1.2078799999999996,0.014620000000000001,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.015,1.1932599999999995,0.0129,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.005,1.1803599999999996,0.0043,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.001,1.1760599999999997,8.6E-4,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.0,1.1751999999999996,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.008,1.1751999999999996,0.00688,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.021,1.1683199999999996,0.01806,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.035,1.1502599999999996,0.030100000000000002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.038,1.1201599999999996,0.03268,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.046,1.0874799999999996,0.03956,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.052,1.0479199999999995,0.044719999999999996,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.044,1.0031999999999994,0.03784,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.045,0.9653599999999994,0.0387,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
0.0,0.038,0.9266599999999995,0.03268,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,NaN
